Transacao_ID;Cliente_Nome;Cliente_Email;Debito_Credito;Tipo_Transacao;Status;Tipo_Pagamento;Valor_Bruto;Valor_Desconto;Valor_Taxa;Valor_Liquido;Transportadora;Num_Envio;Data_Transacao;Data_Compensacao;Ref_Transacao;Parcelas;Codigo_Usuario;Codigo_Venda;Serial_Leitor;Recebimentos;Recebidos;Valor_Recebido;Valor_Tarifa_Intermediacao;Valor_Taxa_Intermediacao;Valor_Taxa_Parcelamento;Valor_Tarifa_Boleto;Bandeira_Cartao_Credito
A49C2940-A46A-4EDC-A7D8-A88AAC91C8E1;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;34,4800;0,0000;0,5900;33,8900;;;28/01/2018 23:09:21;28/02/2018 00:00:00;;1;027955;244268;68440980;1;0;0,0000;0,0000;0,5900;0,0000;0,0000;Visa;
9AB78B2B-B184-4791-B0C1-EC92E8E86254;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;83,0000;0,0000;1,4100;81,5900;;;28/01/2018 22:57:01;28/02/2018 00:00:00;;1;027955;758969;68440980;1;0;0,0000;0,0000;1,4100;0,0000;0,0000;Visa;
EB04344D-F032-4FEC-9DBE-1BD2387D4417;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;149,1800;0,0000;2,5400;146,6400;;;28/01/2018 22:44:26;28/02/2018 00:00:00;;1;027955;237752;68123325;1;0;0,0000;0,0000;2,5400;0,0000;0,0000;MasterCard;
55298B8C-02CE-45F2-9256-2154CF739F1F;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;33,4400;0,0000;0,5700;32,8700;;;28/01/2018 22:33:39;28/02/2018 00:00:00;;1;027955;753416;68123325;1;0;0,0000;0,0000;0,5700;0,0000;0,0000;Visa;
6FF4CBD5-BFBE-4EE2-B740-D08DF360CBEB;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;30,4900;0,0000;0,3000;30,1900;;;28/01/2018 22:28:13;29/01/2018 00:00:00;;1;027955;572067;68123325;1;1;30,1900;0,0000;0,3000;0,0000;0,0000;;
77FF87B3-84B4-4F0E-986F-46F12F656C60;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;57,0600;0,0000;0,5700;56,4900;;;28/01/2018 22:18:56;29/01/2018 00:00:00;;1;027955;71286;68123325;1;1;56,4900;0,0000;0,5700;0,0000;0,0000;;
BAF228E9-728C-4F65-BE52-4E672E45C7BF;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;73,5200;0,0000;1,2500;72,2700;;;28/01/2018 22:18:05;28/02/2018 00:00:00;;1;027955;71064;68123325;1;0;0,0000;0,0000;1,2500;0,0000;0,0000;MasterCard;
095FC448-999B-45A2-8398-DF3A985833CC;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;6,4900;0,0000;0,0600;6,4300;;;28/01/2018 22:16:09;29/01/2018 00:00:00;;1;027955;911340;68123325;1;1;6,4300;0,0000;0,0600;0,0000;0,0000;;
F6E1CDF6-BAC5-402E-A6E1-54A7BA42FF02;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;16,5300;0,0000;0,2800;16,2500;;;28/01/2018 22:13:11;28/02/2018 00:00:00;;1;027955;567984;68123325;1;0;0,0000;0,0000;0,2800;0,0000;0,0000;MasterCard;
1964CD76-D137-4768-B1D3-F5EF4544E06B;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;40,3600;0,0000;0,4000;39,9600;;;28/01/2018 22:00:25;29/01/2018 00:00:00;;1;027955;385462;68123325;1;1;39,9600;0,0000;0,4000;0,0000;0,0000;;
